1:313181
10:50606
11:57597
12:112183
13:76948
14:119138
15:29200
17:11006
2:175286
3:121948
4:121719
5:24987
6:217101
7:80514
8:95615
9:90192
1 1:183510
1 2:71600
1 3:30754
1 4:36778
1 5:11794
1 6:35007
1 7:34057
9 1:10309
9 4:14370
9 7:11491
9 9:43656
11 2:11577
11 1:21881
13 13:47516
13 14:16553
12 12:46468
8 8:67143
6 10:10216
6 15:12257
1 14:36639
1 12:40790
10 1:14237
10 2:11362
1 10:25315
1 11:31282
7 1:25135
7 2:12226
7 4:23484
7 6:24936
7 7:58746
2 14:14043
6 1:21030
6 2:17530
6 3:11059
6 4:15100
6 6:70929
6 7:30040
6 9:10755
2 12:15988
2 10:12289
11 11:17398
10 10:21950
5 5:15213
4 1:22432
4 2:16971
4 4:58429
4 6:10279
4 7:17261
14 2:10171
14 1:22188
3 1:18769
3 2:14141
3 3:36169
14 14:72063
2 1:41960
2 2:87452
2 3:17659
2 4:20182
2 6:16287
2 7:13850
12 3:9917
12 2:14527
12 1:25578
7 7 1:20078
14 1 1:13666
6 1 1:11527
2 2 6:10129
2 2 4:12304
1 4 1:19278
1 4 4:17675
2 2 2:52233
2 2 1:22215
1 2 12:10143
7 7 6:21668
7 7 7:40168
7 7 4:14705
13 13 13:29974
13 13 14:11229
3 1 1:11582
11 1 1:14648
1 10 10:11010
5 5 5:11262
7 6 7:12358
4 7 4:12578
7 6 6:15203
1 1 14:19915
2 4 4:9902
9 9 9:22980
1 6 1:14707
1 6 6:19705
13 14 14:10379
1 12 12:19282
6 7 6:20684
6 7 7:26365
3 3 3:17334
7 4 4:16211
6 6 1:9935
10 10 10:13319
1 7 1:22124
1 7 4:12117
1 7 7:26662
6 6 6:38443
6 6 7:17988
4 1 1:13786
4 2 2:10009
14 14 14:48862
8 8 8:52005
1 1 1:108876
1 1 3:15599
1 1 2:39162
1 1 4:22091
1 1 7:19025
1 1 6:18350
1 14 1:19147
1 1 12:23742
1 10 1:13027
1 1 11:15226
1 1 10:12994
7 1 1:14065
1 2 2:42459
1 2 1:37503
1 2 4:11765
1 2 6:9934
12 12 1:10995
4 4 4:36096
12 12 12:25454
1 11 1:20249
6 2 2:10768
1 3 1:15636
1 3 3:14047
2 1 2:16383
2 1 1:26248
1 14 14:25014
12 1 1:16261
1 12 1:22392
14 14 1:14027
1 1 7 1:12497
2 2 2 1:13480
1 1 12 1:14598
6 6 7 7:12453
2 2 2 2:33935
6 6 7 6:12417
7 7 6 6:13277
7 7 6 7:10439
11 1 1 1:10147
9 9 9 9:13032
1 1 14 14:13447
1 2 1 1:23808
1 2 1 2:14420
1 12 1 1:14541
1 1 7 7:14003
1 7 1 1:12351
1 4 4 4:11060
4 4 4 4:24771
1 14 1 1:12099
1 1 4 4:10378
1 1 4 1:12748
6 6 6 6:23297
1 1 12 12:11198
7 7 1 1:10982
1 2 2 1:19968
1 2 2 2:26909
2 1 1 1:17221
1 14 14 1:12178
1 1 1 7:10256
1 6 6 6:12189
1 1 1 14:11293
1 1 1 4:12908
1 1 1 1:72515
1 1 14 1:11687
1 1 1 2:21954
1 11 1 1:13695
1 1 1 12:14290
14 14 14 1:9922
8 8 8 8:43868
1 7 7 1:17874
2 1 2 1:10233
2 1 2 2:10183
1 7 7 7:15054
6 7 6 6:13152
12 1 1 1:10876
6 7 6 7:10869
1 1 6 6:10131
12 12 12 12:16223
1 12 12 12:10640
2 2 1 1:13685
1 1 2 2:22510
1 1 2 1:23522
1 14 14 14:18024
7 4 4 4:11497
7 7 7 6:17958
7 7 7 7:26400
1 1 11 1:10323
14 14 14 14:34103
13 13 13 13:18816
6 7 7 7:23234
6 7 7 6:18718
1 4 1 1:12075
12 12 12 12 12:11119
1 1 2 2 2:14193
6 6 7 7 7:9919
2 1 1 1 1:12119
1 1 12 1 1:10003
1 1 2 2 1:12284
7 7 7 7 7:14577
1 2 2 1 1:12470
1 1 1 2 2:12284
1 1 1 2 1:15013
2 2 2 2 2:22888
8 8 8 8 8:37327
14 14 14 14 14:24809
1 2 1 1 1:16134
6 7 7 7 6:16237
6 7 7 7 7:14341
13 13 13 13 13:12193
1 14 14 14 14:13165
6 6 6 6 6:14720
1 1 2 1 1:16152
7 7 7 6 6:10895
4 4 4 4 4:18817
1 1 1 1 1:50190
1 2 2 2 2:18094
1 2 2 2 1:12066
1 1 1 1 2:13846
1 12 1 1 1:10065
1 7 7 7 7:11208
6 7 7 6 6:11826
1 1 2 1 1 1:11506
6 7 7 7 6 6:10043
1 2 2 2 2 2:12562
1 14 14 14 14 14:9908
14 14 14 14 14 14:18331
8 8 8 8 8 8:28988
4 4 4 4 4 4:14849
1 2 1 1 1 1:11525
1 1 1 1 2 1:10140
1 1 1 1 1 1:36692
1 1 1 2 1 1:10892
2 2 2 2 2 2:16127
7 7 7 7 7 7:11169
2 2 2 2 2 2 2:11725
8 8 8 8 8 8 8:21631
4 4 4 4 4 4 4:12217
14 14 14 14 14 14 14:13907
1 1 1 1 1 1 1:27240
14 14 14 14 14 14 14 14:10635
8 8 8 8 8 8 8 8:17042
4 4 4 4 4 4 4 4:10225
1 1 1 1 1 1 1 1:20956
8 8 8 8 8 8 8 8 8:13310
1 1 1 1 1 1 1 1 1:16321
1 1 1 1 1 1 1 1 1 1:12924
8 8 8 8 8 8 8 8 8 8:10433
1 1 1 1 1 1 1 1 1 1 1:10353
